minute,day_type,micro_regime,call_ret,put_ret,alpha,oracle_side,model_side,spread
0,dislocation,tradable,0.0,0.005001081751503915,-0.0025005408757519574,-1,0,0.03659241435213546
1,chop,tradable,0.0005509989882920544,0.0,0.0002754994941460272,1,0,0.0615270156526897
2,chop,tradable,0.004065140921573451,0.0,0.0020325704607867257,1,0,0.061038993917913176
3,chop,tradable,0.0015874872755820585,0.0,0.0007937436377910293,1,0,0.07421650793854453
4,chop,tradable,0.0035999242004591003,0.0,0.0017999621002295501,1,0,0.08448684479516333
5,chop,tradable,0.006323187663003095,0.0,0.0031615938315015476,1,0,0.07781342672697183
6,chop,tradable,0.0025482734917508295,0.0,0.0012741367458754147,1,0,0.06286890678930657
7,chop,tradable,0.0035651496121814697,0.0,0.0017825748060907348,1,0,0.07688697962777573
8,chop,tradable,0.006679497276209272,0.0,0.003339748638104636,1,0,0.057123486532112216
9,chop,tradable,0.010234507790126697,0.0,0.0051172538950633485,1,0,0.030515358882570384
10,chop,tradable,0.006942567407088209,0.0,0.0034712837035441044,1,0,0.0621241042876838
11,chop,tradable,0.010915242351389944,0.0,0.005457621175694972,1,0,0.06297673443001928
12,chop,tradable,0.008856978918415625,0.0,0.004428489459207812,1,0,0.06914450125217894
13,chop,tradable,0.008347941608556751,0.0,0.004173970804278376,1,0,0.05859700506072453
14,chop,tradable,0.005859880456432666,0.0,0.002929940228216333,1,0,0.050551563043667855
15,chop,tradable,0.010910711487360928,0.0,0.005455355743680464,1,0,0.058447080300804935
16,chop,tradable,0.009936949258559586,0.0,0.004968474629279793,1,0,0.08056515454175153
17,chop,tradable,0.012035547238525998,0.0,0.006017773619262999,1,0,0.07874242625544153
18,chop,tradable,0.01304291684212772,0.0,0.00652145842106386,1,0,0.05532688273873733
19,chop,tradable,0.008984641147330582,0.0,0.004492320573665291,1,0,0.07897949936675247
20,chop,tradable,0.01889050239745065,0.0,0.009445251198725324,1,0,0.06145530515006521
21,chop,tradable,0.012930962441328797,0.0,0.0064654812206643986,1,0,0.044165435535666125
22,chop,tradable,0.01673317910017687,0.0,0.008366589550088436,1,0,0.08309636708846471
23,chop,tradable,0.01869440261143308,0.0,0.00934720130571654,1,0,0.07548926210883741
24,chop,tradable,0.019669900703627705,0.0,0.009834950351813853,1,0,0.05309028486329497
25,chop,tradable,0.02143868161594697,0.0,0.010719340807973486,1,0,0.09475840828637581
26,chop,tradable,0.017295365052742564,0.0,0.008647682526371282,1,0,0.09709914492690118
27,chop,tradable,0.023495140315478398,0.0,0.011747570157739199,1,0,0.06434948960481646
28,chop,tradable,0.014363063345129773,0.0,0.007181531672564886,1,0,0.053209829813978655
29,chop,tradable,0.020189324039811045,0.0,0.010094662019905522,1,0,0.09273125402878367
30,chop,tradable,0.016556098705115596,0.0,0.008278049352557798,1,0,0.049686364868730584
31,chop,tradable,0.029275602087320423,0.0,0.014637801043660211,1,0,0.09412082915963256
32,chop,tradable,0.020057712028933836,0.0,0.010028856014466918,1,0,0.08808528201926893
33,chop,tradable,0.02424335148015905,0.0,0.012121675740079526,1,0,0.06605399904622003
34,chop,tradable,0.02469527184758613,0.0,0.012347635923793066,1,0,0.06045679420021266
35,chop,tradable,0.030114782868561778,0.0,0.015057391434280889,1,1,0.09254126477885043
36,chop,tradable,0.03145960895080989,0.0,0.015729804475404945,1,1,0.0561560410211597
37,chop,tradable,0.03273304930173945,0.0,0.016366524650869727,1,1,0.046867940250397935
38,trend_up,tradable,0.033220034173804834,0.0,0.016610017086902417,1,1,0.07195679540645905
39,trend_up,tradable,0.02765142000784051,0.0,0.013825710003920254,1,0,0.06505188303416395
40,trend_up,tradable,0.03350943791637161,0.0,0.016754718958185803,1,1,0.07743610715290003
41,trend_up,tradable,0.028473693133134272,0.0,0.014236846566567136,1,0,0.04398429561620403
42,trend_up,tradable,0.031017371178998082,0.0,0.015508685589499041,1,1,0.038662766255524124
43,trend_up,tradable,0.029422145236250932,0.0,0.014711072618125466,1,0,0.07640049489345077
44,trend_up,tradable,0.03027339007093127,0.0,0.015136695035465634,1,1,0.06886386296287772
45,trend_up,tradable,0.029646475827675687,0.0,0.014823237913837843,1,0,0.09763623385002272
46,trend_up,tradable,0.030164943549022966,0.0,0.015082471774511483,1,1,0.08493344144765314
47,trend_up,tradable,0.036030363723233406,0.0,0.018015181861616703,1,1,0.04628485193765036
48,trend_up,tradable,0.03018697027286626,0.0,0.01509348513643313,1,1,0.0756351717905982
49,trend_up,tradable,0.034843008151707384,0.0,0.017421504075853692,1,1,0.08222099961704125
