ts,symbol,action,side,qty,fill_px,bid,ask,spread_pct,fill_spread_frac,model_frac,delta_frac,reason,exit_reason,mode,leg,session_bar,net_return
2026-05-06T10:30:00-04:00,MSFT,OPEN,BUY,1,4.27,4.15,4.3,0.03550295857988153,0.7999999999999976,0.8,-2.4424906541753444e-15,ENTRY,,MAG7_SHADOW,MSFT260506C00412500,,
2026-05-06T11:00:00-04:00,MSFT,CLOSE,SELL,1,3.09,3.05,3.25,0.06349206349206354,0.8,0.8,0.0,T+30,T+30,MAG7_SHADOW,MSFT260506C00412500,,-0.27634660421545665
2026-05-06T10:40:00-04:00,NVDA,OPEN,BUY,1,0.408,0.4,0.41,0.024691358024691242,0.7999999999999989,0.8,-1.1102230246251565e-15,ENTRY,,MAG7_SHADOW,NVDA260506C00207500,,
2026-05-06T11:10:00-04:00,NVDA,CLOSE,SELL,1,0.242,0.24,0.25,0.04081632653061228,0.8,0.8,0.0,T+30,T+30,MAG7_SHADOW,NVDA260506C00207500,,-0.4068627450980392
2026-05-07T10:36:00-04:00,TSLA,OPEN,BUY,1,4.09,4.05,4.1,0.012269938650306707,0.8000000000000036,0.8,3.552713678800501e-15,ENTRY,,MAG7_SHADOW,TSLA260508C00415000,,
2026-05-07T11:06:00-04:00,TSLA,CLOSE,SELL,1,3.02,3.0,3.1,0.03278688524590167,0.8,0.8,0.0,T+30,T+30,MAG7_SHADOW,TSLA260508C00415000,,-0.26161369193154027
2026-05-07T10:51:00-04:00,MSFT,OPEN,BUY,1,3.62,3.5,3.65,0.04195804195804193,0.8000000000000012,0.8,1.1102230246251565e-15,ENTRY,,MAG7_SHADOW,MSFT260508C00425000,,
2026-05-07T11:21:01-04:00,MSFT,CLOSE,SELL,1,4.22,4.2,4.3,0.0235294117647058,0.8000000000000036,0.8,3.552713678800501e-15,T+30,T+30,MAG7_SHADOW,MSFT260508C00425000,,0.16574585635359096
2026-05-08T10:30:00-04:00,AAPL,OPEN,BUY,1,1.85,1.81,1.86,0.02724795640326978,0.8,0.8,0.0,ENTRY,,MAG7_SHADOW,AAPL260508C00292500,,
2026-05-08T11:00:01-04:00,AAPL,CLOSE,SELL,1,1.586,1.57,1.65,0.04968944099378873,0.7999999999999995,0.8,-5.551115123125783e-16,T+30,T+30,MAG7_SHADOW,AAPL260508C00292500,,-0.1427027027027027
2026-05-08T10:50:00-04:00,TSLA,OPEN,BUY,1,3.24,3.2,3.25,0.015503875968992192,0.8000000000000036,0.8,3.552713678800501e-15,ENTRY,,MAG7_SHADOW,TSLA260508C00425000,,
2026-05-08T10:57:02-04:00,TSLA,CLOSE,SELL,1,5.22,5.2,5.3,0.01904761904761898,0.8000000000000036,0.8,3.552713678800501e-15,TP,TP,MAG7_SHADOW,TSLA260508C00425000,,0.6111111111111109
